ID,microchip,speice,sex,size,potenciallyDangrous,neighborhood
7450-CHMSI-SIN IDENTIFICAR,978101081207450,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
7460-CMMSI-SIN IDENTIFICAR,978101081207460,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
7519-FMMSI-SIN IDENTIFICAR,978101081207519,FELINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
7527-CMMSI-SIN IDENTIFICAR,978101081207527,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
544-CHMSI-SIN IDENTIFICAR,978101081207544,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
7593-CMMSI-SIN IDENTIFICAR,978101081207593,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
7624-CHMSI-SIN IDENTIFICAR,978101081207624,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
7635-CHMSI-SIN IDENTIFICAR,978101081207635,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
640-NHMSI-SIN IDENTIFICAR,978101081207640,NO IDENTIFICADO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
7650-CHMSI-SIN IDENTIFICAR,978101081207650,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
7652-CHMSI-SIN IDENTIFICAR,978101081207652,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
7664-CHMSI-SIN IDENTIFICAR,978101081207664,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
681-FMMSI-SIN IDENTIFICAR,978101081207681,FELINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
7683-CHMSI-SIN IDENTIFICAR,978101081207683,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
7687-CMMSI-SIN IDENTIFICAR,978101081207687,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
7696-CMMSI-SIN IDENTIFICAR,978101081207696,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
7702-CMMSI-SIN IDENTIFICAR,978101081207702,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
7708-FMMSI-SIN IDENTIFICAR,978101081207708,FELINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
7713-CMMSI-SIN IDENTIFICAR,978101081207713,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
7727-FHMSI-SIN IDENTIFICAR,978101081207727,FELINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
731-FMMSI-SIN IDENTIFICAR,978101081207731,FELINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
7756-CHMSI-SIN IDENTIFICAR,978101081207756,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
769-CHMSI-SIN IDENTIFICAR,978101081207769,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
7771-CMMSI-SIN IDENTIFICAR,978101081207771,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
7779-CHMSI-SIN IDENTIFICAR,978101081207779,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
7793-CMMSI-SIN IDENTIFICAR,978101081207793,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
7822-CHMSI-SIN IDENTIFICAR,978101081207822,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
7823-CHMSI-SIN IDENTIFICAR,978101081207823,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
869-FMMSI-SIN IDENTIFICAR,978101081208869,FELINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
08873-CHMSI-SIN IDENTIFICAR,978101081208873,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
8889-FHMSI-SIN IDENTIFICAR,978101081208889,FELINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
08897-CMMSI-SIN IDENTIFICAR,978101081208897,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
8898-CHMSI-SIN IDENTIFICAR,978101081208898,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
905-CHMSI-SIN IDENTIFICAR,978101081208905,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
910-FMMSI-SIN IDENTIFICAR,978101081208910,FELINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
08925-CHMSI-SIN IDENTIFICAR,978101081208925,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
8931-CHMSI-SIN IDENTIFICAR,978101081208931,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
056-FMMSI-SIN IDENTIFICAR,978101081209056,FELINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
9073-FHMSI-SIN IDENTIFICAR,978101081209073,FELINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
170-CMMSI-SIN IDENTIFICAR,978101081209170,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
177-CMMSI-SIN IDENTIFICAR,978101081209177,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
9182-FHMSI-SIN IDENTIFICAR,978101081209182,FELINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
9191-FMMSI-SIN IDENTIFICAR,978101081209191,FELINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
9192-FHMSI-SIN IDENTIFICAR,978101081209192,FELINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
9201-CHMSI-SIN IDENTIFICAR,978101081209201,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
9214-FHMSI-SIN IDENTIFICAR,978101081209214,FELINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
9219-CHMSI-SIN IDENTIFICAR,978101081209219,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
09256-CHMSI-SIN IDENTIFICAR,978101081209256,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
9281-FMMSI-SIN IDENTIFICAR,978101081209281,FELINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
09285-CHMSI-SIN IDENTIFICAR,978101081209285,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
307-FHMSI-SIN IDENTIFICAR,978101081209307,FELINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
9312-CMMSI-SIN IDENTIFICAR,978101081209312,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
09324-CMMSI-SIN IDENTIFICAR,978101081209324,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
9334-FHMSI-SIN IDENTIFICAR,978101081209334,FELINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
346-CMMSI-SIN IDENTIFICAR,978101081209346,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
348-CMMSI-SIN IDENTIFICAR,978101081209348,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
361-CHMSI-SIN IDENTIFICAR,978101081209361,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
09366-CHMSI-SIN IDENTIFICAR,978101081209366,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
392-FMMSI-SIN IDENTIFICAR,978101081209392,FELINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
